sachbegriff,count
Literatur,104
Deutsch,89
Unternehmen,88
Nachhaltigkeit,61
Kind,53
Rezeption,46
Schätzung,41
Jugend,41
Recht,39
Rechtsvergleich,39
Englisch,38
Frau,37
Französisch,36
Künstliche Intelligenz,35
Strategisches Management,34
Kultur,34
Arzneimitteldesign,33
Krebs,32
Philosophie,32
Kunst,32
Forschung,32
Arzneimittelentwicklung,32
Psychiatrie,31
Klein- und Mittelbetrieb,31
Psychische Störung,30
Management,30
Prozessmanagement,30
Innovation,29
Kinderkrankheit,29
Onkologie,29
Politik,29
Kinderheilkunde,29
Klinische Psychologie,28
Risikomanagement,27
Film,27
Datensicherung,27
Sprachverarbeitung,26
Strategische Planung,26
Softwareentwicklung,26
Neue Medien,25
Qualitätsmanagement,25
Internet,25
Mehrsprachigkeit,24
Globalisierung,24
Erfolgsfaktor,24
Kulturkontakt,23
Ethik,23
Computersicherheit,23
Kommunikation,23
Kardiovaskuläre Krankheit,22
Innovationsmanagement,22
Computerunterstützte Kommunikation,22
Maschinelle Übersetzung,22
Cloud Computing,22
Führungskraft,21
Finanzierung,21
Portfolio Selection,21
Simulation,21
Computerunterstütztes Verfahren,21
Electronic Commerce,21
Übersetzung,21
Klimaänderung,21
Projektmanagement,20
Diagnostik,20
Change Management,20
Religion,20
Wirtschaftspolitik,20
World Wide Web 2.0,20
Privatsphäre,19
Betriebliches Informationssystem,19
Erneuerbare Energien,19
Kollektives Gedächtnis,19
Hochschule,19
Differentialdiagnose,19
Gehirn,19
Bibliothek,19
Spanisch,19
Compliance-System,19
Sozialer Wandel,19
Computersimulation,19
Gesellschaft,19
Weltkrieg,19
Finanzkrise,18
Soft Computing,18
Datenverarbeitung,18
Mathematik,18
Bildverarbeitung,18
Diagnose,18
Demokratie,18
Deutschland,18
Zentralnervensystem,18
Wirtschaftsentwicklung,18
Corporate Governance,18
Pflegediagnose,18
Geschichte,17
Roman,17
Mathematisches Modell,17
Geschlechterrolle,17
Stochastischer Prozess,17
Architektur,17
