sachbegriff,count
Krebs,337
Onkologie,331
Literatur,227
Unternehmen,217
Deutsch,184
Kardiovaskuläre Krankheit,184
Kind,166
Nervenkrankheit,156
Hirnkrankheit,155
Neuropsychiatrie,155
Gehirn,141
Rezeption,141
Zentralnervensystem,138
Rechtsvergleich,133
Kinderheilkunde,116
Kinderkrankheit,116
Topografie,116
Patient,114
Nachhaltigkeit,108
Management,98
Psychische Störung,95
Englisch,94
Kunst,92
Philosophie,89
Psychiatrie,87
Infektion,86
Recht,85
Schätzung,83
Strategisches Management,82
Krankheit,81
Diagnostik,80
Jugend,79
Klinische Psychologie,79
Infektiologie,78
Arzneimittelentwicklung,76
Frau,75
Diagnose,75
Klein- und Mittelbetrieb,74
Film,74
Zelle,73
Arzneimitteldesign,73
Differentialdiagnose,70
Architektur,69
Innovationsmanagement,68
Therapie,68
Kommunikation,67
Pflegediagnose,64
Kultur,63
Marketing,62
Risikomanagement,60
Bank,59
Computerunterstütztes Verfahren,59
Französisch,58
Geologie,58
Proteine,57
Internet,56
Verletzung,55
Trauma,55
Verbraucherverhalten,54
Endokrinologie,54
Klimaänderung,54
Globalisierung,53
Führungskraft,52
Mathematisches Modell,51
Traumatologie,51
Kollektives Gedächtnis,51
Prozessmanagement,51
Wunde,50
Innovation,50
Krankenpflege,49
Spanisch,49
Malerei,48
Pharmakokinetik,48
Religion,48
Politik,48
Biopharmazie,47
Multinationales Unternehmen,47
Erfolgsfaktor,47
Prävention,47
Ästhetik,47
Krankenhaus,47
Bewertung,47
Forschung,46
Pharmakodynamik,46
Immunsystem,45
Softwareentwicklung,44
Künstliche Intelligenz,44
Computersimulation,44
Kulturkontakt,44
Orthopädie,44
Lymphozyt,43
Ägypten <Altertum>,43
Qualitätsmanagement,43
Urogenitalkrankheit,42
Gesundheitswesen,42
Sportunterricht,42
Leukozyt,42
Simulation,42
Immunologie,42
Alltag,42
