sachbegriff,count
Literatur,81
Unternehmen,74
Psychische Störung,62
Krebs,58
Onkologie,58
Psychiatrie,58
Klinische Psychologie,54
Deutsch,54
Nachhaltigkeit,45
Strategisches Management,41
Rezeption,39
Kind,39
Gehirn,38
Kunst,38
Zentralnervensystem,37
Philosophie,35
Management,34
Diagnostik,34
Krankheit,32
Recht,31
Diagnose,31
Strategische Planung,31
Differentialdiagnose,30
Pflegediagnose,30
Kinderheilkunde,30
Kinderkrankheit,30
Englisch,29
Arzneimitteldesign,28
Arzneimittelentwicklung,28
Kultur,27
Film,26
Forschung,25
Restrukturierung,25
Nervenkrankheit,24
Change Management,24
Jugend,24
Tiere,24
Kardiovaskuläre Krankheit,24
Organisationswandel,23
-,23
Neuropsychiatrie,22
Freundschaft,22
Hirnkrankheit,22
Digitalisierung,22
Frau,22
Interdisziplinäre Forschung,22
Klein- und Mittelbetrieb,22
Kommunikation,22
Gesellschaft,21
Innovationsmanagement,21
Politik,21
Globalisierung,21
Schiff,20
Krankenpflege,20
Begriff,20
Alter,20
World Wide Web 2.0,20
Steuerrecht,20
Ästhetik,20
Therapie,20
Abenteuer,20
Stadt,20
Social Media,19
Malerei,19
Patient,19
Klimaänderung,18
Finanzanalyse,18
Erfolgsfaktor,18
Risikomanagement,18
Französisch,18
Identität,17
Hochschule,17
Geschichte,17
Finanzierung,17
Diskurs,17
Sportunterricht,17
Kapitalanlage,17
Hautkrankheit,16
Künste,16
Sportpädagogik,16
Geschlechterverhältnis,16
Theater,16
Fitnesstraining,16
Simulation,16
Dermatologie,16
Medizinische Ausbildung,16
Präventives Training,15
Kollektives Gedächtnis,15
Corporate Social Responsibility,15
Personalwesen,15
Fitness,15
Demokratie,15
Architektur,15
Gesundheitssport,15
Weltkrieg,15
Liebe,15
Migration,14
Medizin,14
Qualitätsmanagement,14
Anlageverhalten,14
