sachbegriff,count
Deutsch,138
Literatur,87
Topografie,60
Englisch,56
Unternehmen,53
Rezeption,43
Rechtsvergleich,41
Sportunterricht,41
Nachhaltigkeit,41
Sportpädagogik,38
Philosophie,38
Fitness,35
Onkologie,34
Gesundheitssport,34
Krebs,34
Fitnesstraining,34
Präventives Training,34
Recht,33
Diagnose,33
Diagnostik,32
Differentialdiagnose,32
Pflegediagnose,32
Kinderheilkunde,30
Kinderkrankheit,30
Kind,29
Management,29
Arzneimittelentwicklung,29
Arzneimitteldesign,29
Risikomanagement,28
Grammatik,27
Hochschule,27
Kardiovaskuläre Krankheit,27
Gehirn,26
Kommunikation,26
Zentralnervensystem,25
Kultur,25
Kunst,24
Nichtmedikamentöse Therapie,24
Verb,23
Steuerrecht,22
Architektur,22
Strategisches Management,21
Internet,21
Innovation,21
Psychiatrie,20
Gefühl,20
Marketing,20
Alltag,20
Biopharmazie,20
Klein- und Mittelbetrieb,20
Pharmakodynamik,19
Ethik,19
Pharmakokinetik,19
Digitalisierung,18
Psychische Störung,18
Klinische Psychologie,18
Arbeitsrecht,18
Französisch,18
Schule,18
Theologie,18
Frau,18
Linguistik,17
Wirtschaft,17
Syntax,17
Alter,17
Medien,17
Qualitätsmanagement,17
Restrukturierung,17
Freundschaft,17
Innovationsmanagement,17
Geologie,17
Jugend,16
Kollektives Gedächtnis,16
Change Management,16
Anlageverhalten,16
Forschung,16
Raum,16
Regulierung,16
Haftung,16
Urheberrecht,16
Griechisch,16
Therapie,16
Abenteuer,16
Migration,16
Schüler,16
Gesellschaft,16
Klimaänderung,15
Medizintechnik,15
Politik,15
Industrie 4.0,15
Sprache,15
Magie,15
Sekundarstufe,15
Wissensmanagement,15
Junge,15
Mehrsprachigkeit,15
Patient,15
Krankenpflege,15
Körper,15
Film,15
