sachbegriff,count
Krebs,487
Onkologie,472
Patient,431
Zelle,279
Hirnkrankheit,277
Neuropsychiatrie,275
Nervenkrankheit,274
Kardiovaskuläre Krankheit,223
Infektion,148
Proteine,147
Deutsch,147
Gehirn,143
Tumor,142
Kind,141
Literatur,140
Zentralnervensystem,133
Arzneimittelentwicklung,131
Arzneimitteldesign,131
Kinderheilkunde,130
Therapie,129
Kinderkrankheit,127
Topografie,122
Infektiologie,120
Unternehmen,119
Diagnostik,118
Diagnose,111
Atemwegskrankheit,107
Chemische Synthese,106
Nachhaltigkeit,106
Atemnot,105
Differentialdiagnose,100
Pflegediagnose,97
Immunsystem,97
Krankheit,97
Lymphozyt,96
Kunst,95
Leukozyt,93
Resistenz,92
Immunologie,91
Pharmakokinetik,88
Biopharmazie,88
Immunität,88
Immunchemie,88
Pharmakodynamik,87
Abenteuer,87
Rezeption,84
Architektur,83
Orthopädie,81
Rezeptor,74
Frau,73
Management,73
Psychische Störung,72
Philosophie,70
Simulation,69
Endokrinologie,65
Freundschaft,64
Psychiatrie,63
Rechtsvergleich,63
Evaluation,60
Hautkrankheit,59
Trauma,57
Nanopartikel,57
Weltkrieg,57
Urologie,56
Harnwegskrankheit,56
Recht,56
Klinische Psychologie,56
Urogenitalkrankheit,56
Verletzung,56
Dermatologie,56
Histologie,54
Digitalisierung,53
Cytologie,53
Kultur,53
Schmerz,52
Katalysator,51
Wunde,51
Traumatologie,50
Kommunikation,50
Lebensqualität,50
Familie,49
Politik,49
Augenkrankheit,48
Augenheilkunde,47
Wirtschaft,47
Schule,46
Film,46
Innovation,46
Physikalische Chemie,45
Lernen,45
Operation,45
Englisch,44
Allergie,44
Messung,44
Globalisierung,43
Immunkrankheit,43
DNS,42
Wirkungsanalyse,42
Nichtmedikamentöse Therapie,42
Jugend,42
