sachbegriff,count
Patient,254
Onkologie,185
Krebs,185
Zelle,162
Hirnkrankheit,121
Neuropsychiatrie,117
Nervenkrankheit,117
Kardiovaskuläre Krankheit,99
Topografie,97
Proteine,86
Deutsch,79
Therapie,79
Gehirn,78
Kind,73
Zentralnervensystem,69
Literatur,66
Tumor,66
Krankheit,62
Infektion,62
Rezeptor,55
Chemische Synthese,55
Kinderheilkunde,52
Kinderkrankheit,50
Rezeption,50
Arzneimitteldesign,48
Arzneimittelentwicklung,47
Diagnostik,45
Infektiologie,44
Pharmakokinetik,43
Psychische Störung,42
Biopharmazie,41
Immunsystem,41
Unternehmen,40
Pharmakodynamik,40
Evaluation,39
Atemnot,39
Atemwegskrankheit,39
Englisch,38
Psychiatrie,38
Leukozyt,37
Resistenz,36
Immunität,35
Immunologie,35
Diagnose,35
Lymphozyt,35
Symptom,34
Philosophie,34
Kunst,34
Immunchemie,34
Klinische Psychologie,33
Arzneimittel,33
Recht,31
Kultur,30
Architektur,30
Differentialdiagnose,30
Komplikation,29
Orthopädie,29
Nachhaltigkeit,29
Theologie,28
Patientin,27
Statistik,27
Endokrinologie,27
Pflegediagnose,26
Versuchsperson,26
Trauma,26
Schmerz,26
Jugend,26
Nanopartikel,26
Lernen,25
Knochen,25
Rechtsvergleich,25
Lebensqualität,25
Verletzung,24
Allergie,24
Politik,23
Hautkrankheit,23
Film,23
Messung,23
Dermatologie,23
Augenkrankheit,23
Risikofaktor,23
Sportpädagogik,23
Gelenk,23
Nervenzelle,22
Ligand,22
Sportunterricht,22
Fitness,22
Wunde,22
Forschung,22
Augenheilkunde,22
Musik,22
Traumatologie,21
Intervention,21
Fitnesstraining,21
Katalysator,21
Herzinsuffizienz,21
Präventives Training,20
Zahnprothetik,20
Zahntechnik,20
Funde,20
